סמל ישוב בחירות,שם ישוב בחירות,סמל קלפי,סמל רכוז,כתובת קלפי,סמל ישוב קלפי,שם ישוב קלפי,סמל רחוב קלפי,שם רחוב קלפי,מס' בית,מקום קלפי,סווג מקום,מחוז
5000,תל אביב - יפו,63.0,006,"דרזנר יחיאל,2א",5000,תל אביב - יפו,293,דרזנר יחיאל,2,מרכז קהילתי רוזין,מרכז קהילתי,תא
5000,תל אביב - יפו,64.0,160,"לבנון חיים,37 ",5000,תל אביב - יפו,116,לבנון חיים,37,מרכז קהילתי רמת אביב,מרכז קהילתי,תא
5000,תל אביב - יפו,65.0,162,"גרונימן,11 ",5000,תל אביב - יפו,117,גרונימן,11,"בי""ס אילנות",בית ספר ממלכתי,תא
5000,תל אביב - יפו,66.0,016,"אנדרסן,22 ",5000,תל אביב - יפו,175,אנדרסן,22,"בי""ס ניצנים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,67.0,107,"רדינג,26 ",5000,תל אביב - יפו,101,רדינג,26,"בי""ס תיכון י אליאנס",בית ספר פרטי,תא
5000,תל אביב - יפו,68.0,016,"אנדרסן,22 ",5000,תל אביב - יפו,175,אנדרסן,22,"בי""ס ניצנים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,69.0,111,"רדינג,35 ",5000,תל אביב - יפו,101,רדינג,35,"בי""ס אלומות",בית ספר ממלכתי דתי,תא
5000,תל אביב - יפו,70.0,007,"ברש אשר,2 ",5000,תל אביב - יפו,110,ברש אשר,2,"אורנים חט""ב כיח",חטיבת ביניים,תא
5000,תל אביב - יפו,71.0,107,"רדינג,26 ",5000,תל אביב - יפו,101,רדינג,26,"בי""ס תיכון י אליאנס",בית ספר פרטי,תא
5000,תל אביב - יפו,72.0,162,"גרונימן,11 ",5000,תל אביב - יפו,117,גרונימן,11,"בי""ס אילנות",בית ספר ממלכתי,תא
5000,תל אביב - יפו,73.0,007,"ברש אשר,2 ",5000,תל אביב - יפו,110,ברש אשר,2,"אורנים חט""ב כיח",חטיבת ביניים,תא
5000,תל אביב - יפו,74.0,007,"ברש אשר,2 ",5000,תל אביב - יפו,110,ברש אשר,2,"אורנים חט""ב כיח",חטיבת ביניים,תא
5000,תל אביב - יפו,75.0,016,"אנדרסן,22 ",5000,תל אביב - יפו,175,אנדרסן,22,"בי""ס ניצנים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,76.0,016,"אנדרסן,22 ",5000,תל אביב - יפו,175,אנדרסן,22,"בי""ס ניצנים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,77.0,013,"לויטן יצחק,7 ",5000,תל אביב - יפו,182,לויטן יצחק,7,"בי""ס ארזים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,78.0,016,"אנדרסן,22 ",5000,תל אביב - יפו,175,אנדרסן,22,"בי""ס ניצנים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,79.0,016,"אנדרסן,22 ",5000,תל אביב - יפו,175,אנדרסן,22,"בי""ס ניצנים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,80.0,013,"לויטן יצחק,7 ",5000,תל אביב - יפו,182,לויטן יצחק,7,"בי""ס ארזים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,81.0,016,"אנדרסן,22 ",5000,תל אביב - יפו,175,אנדרסן,22,"בי""ס ניצנים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,82.0,016,"אנדרסן,22 ",5000,תל אביב - יפו,175,אנדרסן,22,"בי""ס ניצנים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,83.0,016,"אנדרסן,22 ",5000,תל אביב - יפו,175,אנדרסן,22,"בי""ס ניצנים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,84.0,013,"לויטן יצחק,7 ",5000,תל אביב - יפו,182,לויטן יצחק,7,"בי""ס ארזים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,85.0,071,"פיינשטיין,83 ",5000,תל אביב - יפו,289,פיינשטיין,83,"בי""ס רמת אביב ג",בית ספר ממלכתי,תא
5000,תל אביב - יפו,86.0,013,"לויטן יצחק,7 ",5000,תל אביב - יפו,182,לויטן יצחק,7,"בי""ס ארזים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,87.0,006,"דרזנר יחיאל,2א",5000,תל אביב - יפו,293,דרזנר יחיאל,2,מרכז קהילתי רוזין,מרכז קהילתי,תא
5000,תל אביב - יפו,88.0,013,"לויטן יצחק,7 ",5000,תל אביב - יפו,182,לויטן יצחק,7,"בי""ס ארזים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,89.0,071,"פיינשטיין,83 ",5000,תל אביב - יפו,289,פיינשטיין,83,"בי""ס רמת אביב ג",בית ספר ממלכתי,תא
5000,תל אביב - יפו,90.0,016,"אנדרסן,22 ",5000,תל אביב - יפו,175,אנדרסן,22,"בי""ס ניצנים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,91.0,016,"אנדרסן,22 ",5000,תל אביב - יפו,175,אנדרסן,22,"בי""ס ניצנים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,92.0,016,"אנדרסן,22 ",5000,תל אביב - יפו,175,אנדרסן,22,"בי""ס ניצנים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,93.0,013,"לויטן יצחק,7 ",5000,תל אביב - יפו,182,לויטן יצחק,7,"בי""ס ארזים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,94.0,071,"פיינשטיין,83 ",5000,תל אביב - יפו,289,פיינשטיין,83,"בי""ס רמת אביב ג",בית ספר ממלכתי,תא
5000,תל אביב - יפו,95.0,071,"פיינשטיין,83 ",5000,תל אביב - יפו,289,פיינשטיין,83,"בי""ס רמת אביב ג",בית ספר ממלכתי,תא
5000,תל אביב - יפו,96.0,071,"פיינשטיין,83 ",5000,תל אביב - יפו,289,פיינשטיין,83,"בי""ס רמת אביב ג",בית ספר ממלכתי,תא
5000,תל אביב - יפו,97.0,006,"דרזנר יחיאל,2א",5000,תל אביב - יפו,293,דרזנר יחיאל,2,מרכז קהילתי רוזין,מרכז קהילתי,תא
5000,תל אביב - יפו,98.0,071,"פיינשטיין,83 ",5000,תל אביב - יפו,289,פיינשטיין,83,"בי""ס רמת אביב ג",בית ספר ממלכתי,תא
5000,תל אביב - יפו,99.0,013,"לויטן יצחק,7 ",5000,תל אביב - יפו,182,לויטן יצחק,7,"בי""ס ארזים",בית ספר ממלכתי,תא
5000,תל אביב - יפו,100.0,071,"פיינשטיין,83 ",5000,תל אביב - יפו,289,פיינשטיין,83,"בי""ס רמת אביב ג",בית ספר ממלכתי,תא
5000,תל אביב - יפו,101.0,006,"דרזנר יחיאל,2א",5000,תל אביב - יפו,293,דרזנר יחיאל,2,מרכז קהילתי רוזין,מרכז קהילתי,תא
5000,תל אביב - יפו,102.0,006,"דרזנר יחיאל,2א",5000,תל אביב - יפו,293,דרזנר יחיאל,2,מרכז קהילתי רוזין,מרכז קהילתי,תא
5000,תל אביב - יפו,103.0,071,"פיינשטיין,83 ",5000,תל אביב - יפו,289,פיינשטיין,83,"בי""ס רמת אביב ג",בית ספר ממלכתי,תא
5000,תל אביב - יפו,104.0,121,"אבנר,1 ",5000,תל אביב - יפו,313,אבנר,1,מועדון נוער צהלה,"מתנ""ס/מועדון נוער",תא
5000,תל אביב - יפו,105.0,071,"פיינשטיין,83 ",5000,תל אביב - יפו,289,פיינשטיין,83,"בי""ס רמת אביב ג",בית ספר ממלכתי,תא
5000,תל אביב - יפו,106.0,086,"עשהאל,3 ",5000,תל אביב - יפו,321,עשהאל,3,"בי""ס צהלה",בית ספר ממלכתי,תא
5000,תל אביב - יפו,107.0,121,"אבנר,1 ",5000,תל אביב - יפו,313,אבנר,1,מועדון נוער צהלה,"מתנ""ס/מועדון נוער",תא
5000,תל אביב - יפו,108.0,218,"בקר אהרון,10 ",5000,תל אביב - יפו,4774,בקר אהרון,10,"בי""ס ע""ש נעמי שמר",,תא
5000,תל אביב - יפו,109.0,218,"בקר אהרון,10 ",5000,תל אביב - יפו,4774,בקר אהרון,10,"בי""ס ע""ש נעמי שמר",,תא
5000,תל אביב - יפו,110.0,160,"לבנון חיים,37 ",5000,תל אביב - יפו,116,לבנון חיים,37,מרכז קהילתי רמת אביב,מרכז קהילתי,תא
5000,תל אביב - יפו,111.0,107,"רדינג,26 ",5000,תל אביב - יפו,101,רדינג,26,"בי""ס תיכון י אליאנס",בית ספר פרטי,תא
5000,תל אביב - יפו,112.0,008,"בורלא יהודה,25 ",5000,תל אביב - יפו,196,בורלא יהודה,25,"בי""ס זלמן ארן",בית ספר ממלכתי,תא
5000,תל אביב - יפו,113.0,218,"בקר אהרון,10 ",5000,תל אביב - יפו,4774,בקר אהרון,10,"בי""ס ע""ש נעמי שמר",,תא
